Name,Rating,Advantage,Disadvantage,Reviews,Salary,Interview,Jobs,Industry,Employees,Ownership,Age,Location,Work Place
Hi Tech Informatics,3.8,"Promotions / Appraisal, Job Security, Salary & Benefits",,170,789,9,11,IT Services & Consulting , 501-1k Employees (Global) , 34 years old , Bangalore/Bengaluru +45 more,,
Varindera Constructions,4.3,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",,169,740,6,--,Engineering & Construction , 501-1k Employees , Public , 40 years old , New Delhi +15 more,
ITC ABD,3.9,Job Security,"Promotions / Appraisal, Work Life Balance",168,881,9,--,51-200 Employees , 114 years old , Kolkata +48 more,,,
Faber India,4.3,"Company Culture, Work Life Balance, Job Security",,167,855,10,--,Consumer Electronics & Appliances , 201-500 Employees , 69 years old , Pune +35 more,,
Rittal,3.9,Job Security,"Promotions / Appraisal, Salary & Benefits",167,951,6,--,Industrial Machinery , 501-1k Employees , 29 years old , Herborn +14 more,,
Can Fin Homes,3.3,"Company Culture, Promotions / Appraisal, Work Satisfaction",,167,771,7,--,NBFC , 501-1k Employees , Public , 37 years old , Bangalore +57 more,
Eaton Power Quality,4.3,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal,165,1k,8,--,Electronics Manufacturing , 5k-10k Employees , 113 years old , New Delhi +16 more,,
National Securities Depository,3.3,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,165,1.7k,9,--,Financial Services , 201-500 Employees , 28 years old , Mumbai +7 more,,
Upwork,4.6,"Work Life Balance, Work Satisfaction, Company Culture",,165,1.2k,13,--,Internet , 501-1k Employees , Public , 9 years old , Santa Clara +29 more,
Skets Studio,4.2,"Skill Development / Learning, Job Security, Company Culture",,165,636,17,--,Architecture & Interior Design , 501-1k Employees , 19 years old , New Delhi +2 more,,
Weatherford,4.1,"Work Life Balance, Work Satisfaction, Company Culture",,164,771,8,--,Oil & Gas , 1k-5k Employees , Forbes Global 2000 , 83 years old , Houston +17 more,
Compuage Infocom,3.9,"Company Culture, Work Life Balance, Salary & Benefits",,164,1k,7,--,Hardware & Networking , 501-1k Employees , Public , 37 years old , Mumbai +39 more,
Carzonrent,3.6,"Promotions / Appraisal, Company Culture, Job Security",,163,648,3,--,Travel & Tourism , 51-200 Employees , 24 years old , Delhi +14 more,,
Patton International,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",162,795,7,--,Iron & Steel , 51-200 Employees , 34 years old , Kolkata +4 more,,
Covalent Laboratories,3.2,"Promotions / Appraisal, Company Culture, Work Satisfaction",,161,837,6,42,Pharma , 51-200 Employees , 22 years old , Hyderabad/Secunderabad +5 more,,
GE Transportation,4.2,"Job Security, Work Life Balance, Company Culture",,161,1.1k,3,--,Industrial Machinery , 1k-5k Employees , Public , 117 years old ,  Pittsburgh +11 more,
Megafine Pharma,4.2,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits",160,1.1k,6,--,Pharma , 201-500 Employees , 29 years old , Mumbai +8 more,,
Simar Infrastructures,4.1,"Job Security, Work Life Balance, Skill Development / Learning",,160,686,9,3,Engineering & Construction , 201-500 Employees , Public , 26 years old , Panipat +30 more,
CPA Global,4.0,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,158,1.3k,8,--,IT Services & Consulting , 1k-5k Employees , 55 years old , St Helier +4 more,,
Ring Plus Aqua,3.9,"Promotions / Appraisal, Job Security",,157,669,7,--,Auto Components , 201-500 Employees , Public , 27 years old , Thane +7 more,
International Travel House,4.0,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,157,709,3,--,Hospitality , 501-1k Employees , Public , 43 years old , Gurgaon/Gurugram +18 more,
Exeltis,4.1,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,157,528,11,--,Pharma , 1k-5k Employees , 21 years old , Madrid +31 more,,
Scope eKnowledge Center,3.8,"Promotions / Appraisal, Salary & Benefits",,153,667,4,--,IT Services & Consulting , 201-500 Employees , 37 years old , Chennai +4 more,,
Qatargas,4.7,"Work Satisfaction, Skill Development / Learning, Company Culture",,153,521,8,--,Oil & Gas , 5k-10k Employees , 40 years old , Doha +13 more,,
SEW Infrastructure,3.5,"Work Life Balance, Work Satisfaction","Job Security, Salary & Benefits, Promotions / Appraisal",144,549,2,--,Engineering & Construction , 1k-5k Employees , 64 years old , Hyderabad/Secunderabad +21 more,,
Vishwa Samudra Engineering,4.0,"Promotions / Appraisal, Work Satisfaction",,189,839,13,15,501-1k Employees , Hyderabad / Secunderabad +24 more,,,,
IT By Design,3.6,Promotions / Appraisal,,186,1.3k,33,--,IT Services & Consulting , 201-500 Employees , 21 years old , Jersey City +9 more,,
Darwinbox,3.6,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",,185,1.8k,35,--,Software Product , 501-1k Employees , Indian Unicorn , 9 years old , Hyderabad +9 more,
Zypp Electric,4.0,"Skill Development / Learning, Work Life Balance, Salary & Benefits",,183,479,10,--,Internet , 501-1k Employees , Startup , 7 years old , Gurgaon +6 more,
Indus Valley Partners,3.3,Job Security,"Work Satisfaction, Promotions / Appraisal, Work Life Balance",182,1.9k,31,--,IT Services & Consulting , 201-500 Employees , 24 years old , New York +7 more,,
Light Microfinance,4.1,"Salary & Benefits, Company Culture, Promotions / Appraisal",,180,696,12,--,NBFC , 1k-5k Employees , 30 years old , Ahmedabad +68 more,,
DST Worldwide Services,4.1,"Work Life Balance, Job Security, Company Culture",,180,1.3k,5,--,Hyderabad / Secunderabad +4 more,,,,,
Sunteck Realty,3.4,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",,180,1.2k,18,27,Real Estate , 51-200 Employees , Public , 43 years old , Mumbai +7 more,
Vanderlande Industries,4.0,"Work Life Balance, Company Culture, Job Security",,175,1.3k,19,55,Logistics , 501-1k Employees , 75 years old , Veghel +7 more,,
Azim Premji Foundation,4.1,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,169,659,27,--,Non-Profit , 1k-5k Employees , 23 years old , Bangalore/Bengaluru +43 more,,
SCA Health India,4.8,"Company Culture, Job Security, Work Life Balance",,168,278,5,--,BPO , 201-500 Employees , Forbes Global 2000 , 11 years old , Noida +9 more,
E2logy Software Solutions,4.4,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,167,231,5,--,IT Services & Consulting , 51-200 Employees , 19 years old , Ahmedabad +2 more,,
Red Bull,4.2,"Work Life Balance, Salary & Benefits, Company Culture",Promotions / Appraisal,167,650,9,--,Beverage , 1k-5k Employees , 37 years old , Fuschl +39 more,,
Paradise Food Court,4.2,"Salary & Benefits, Company Culture, Work Life Balance",,166,833,13,--,Hospitality , 1k-5k Employees , 71 years old , Hyderabad/Secunderabad +12 more,,
Indian Railway Catering and Tourism,4.0,"Work Life Balance, Company Culture",Promotions / Appraisal,165,826,7,--,Urban Transport , 1k-5k Employees , Public , 25 years old , Delhi/NCR +40 more,
Agappe Diagnostics,3.9,"Skill Development / Learning, Salary & Benefits",,165,651,9,--,Healthcare , 501-1k Employees , 26 years old , Ernakulam +26 more,,
Lucy Electric,4.0,Work Life Balance,Promotions / Appraisal,162,994,10,42,Electrical Equipment , 51-200 Employees , 212 years old , Thame +9 more,,
Kovai Medical Center and Hospital,4.4,"Skill Development / Learning, Job Security, Company Culture",,159,718,2,--,Healthcare , 201-500 Employees , Public , 39 years old , Coimbatore +7 more,
Jyoti Structures,3.5,"Promotions / Appraisal, Job Security, Salary & Benefits",,158,465,8,--,Power , 11-50 Employees , Public , 50 years old , Mumbai +35 more,
HEG,3.9,"Work Life Balance, Job Security, Company Culture",,153,799,12,--,Semiconductors , 501-1k Employees , Public , 52 years old , Noida +7 more,
TerraCIS Technologies,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,151,622,8,--,IT Services & Consulting , 1k-5k Employees , Public , 31 years old , Gurgaon/Gurugram +34 more,
Nandi Toyota,4.0,"Job Security, Company Culture, Skill Development / Learning",,146,564,6,--,201-500 Employees , 23 years old , Bengaluru +4 more,,,
Betsol,3.5,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,179,1.4k,32,--,IT Services & Consulting , 501-1k Employees , 22 years old , Broomfield +3 more,,
Sapphire Software Solutions (India),4.5,"Job Security, Company Culture, Skill Development / Learning",,179,243,2,--,IT Services & Consulting , 51-200 Employees , 24 years old , Ahmedabad +3 more,,
Fashion TV,3.5,"Job Security, Promotions / Appraisal, Work Satisfaction",,177,397,12,340,Broadcasting , 201-500 Employees , Paris +8 more,,,
MSC Technology India,4.5,"Job Security, Work Life Balance, Salary & Benefits",,175,1.1k,19,15,IT Services & Consulting , 1k-5k Employees , 17 years old , Chennai +7 more,,
SAEL Industries Limited,3.8,,,173,998,14,--,Power , 501-1k Employees , Conglomerate , 2 years old , New Delhi +23 more,
Amazon Seller Central,4.3,"Company Culture, Skill Development / Learning, Salary & Benefits",,170,1.2k,23,--,Internet , 10k-50k Employees , Hyderabad / Secunderabad +31 more,,,
Waste Management Holdings,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,169,1.1k,11,--,Waste Management , 51-200 Employees , Forbes Global 2000 , 56 years old , Houston +12 more,
Tatva Chintan Pharma Chem,4.2,"Promotions / Appraisal, Work Satisfaction",,167,891,14,--,Chemicals , 501-1k Employees , 28 years old , Vadodara +6 more,,
ICPA Health Products,3.3,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,167,614,11,27,Healthcare , 51-200 Employees , Public , 41 years old , Mumbai +29 more,
Bekaert Industries,4.1,"Company Culture, Salary & Benefits, Work Life Balance","Promotions / Appraisal, Job Security",166,867,7,27,Electrical Equipment , 11-50 Employees , 144 years old , Zwevegem +4 more,,
OPERATIONAL ENERGY GROUP INDIA,3.9,"Promotions / Appraisal, Salary & Benefits",,166,776,7,--,Oil & Gas , 201-500 Employees , 17 years old , Chennai +40 more,,
Ananth Technologies,3.9,Job Security,"Salary & Benefits, Promotions / Appraisal",165,1.2k,12,--,Electronics Manufacturing , 1k-5k Employees , Public , 32 years old , Hyderabad/Secunderabad +11 more,
Global Opportunities,4.3,"Company Culture, Work Life Balance, Salary & Benefits",,165,481,2,--,EdTech , 51-200 Employees , 23 years old , Delhi/NCR +17 more,,
South Eastern Coalfields,4.4,"Job Security, Work Life Balance, Work Satisfaction",,164,283,7,--,Metals & Mining , 5k-10k Employees (Global) , Central , 39 years old , Bilaspur +21 more,
Allen Solly,4.4,"Skill Development / Learning, Company Culture, Work Life Balance",,164,468,7,--,Fashion & Textile , 10k-50k Employees , Public , 280 years old , Bangalore/Bengaluru +56 more,
Harsco,3.8,"Promotions / Appraisal, Skill Development / Learning",,163,1.2k,15,--,Waste Management , 201-500 Employees , 171 years old , Camp Hill +16 more,,
WEG,3.8,Job Security,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",163,1.1k,10,--,Electronics Manufacturing , 201-500 Employees , Forbes Global 2000 , 63 years old , Tamil Nadu +8 more,
Ritu Kumar,3.9,Skill Development / Learning,Promotions / Appraisal,162,834,8,--,Fashion & Textile , 501-1k Employees , 55 years old , Gurgaon +29 more,,
CyberSWIFT Infotech,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,162,383,8,--,IT Services & Consulting , 501-1k Employees , 27 years old , Worthington +6 more,,
Stedman Pharmaceuticals,4.4,"Skill Development / Learning, Work Life Balance, Company Culture",,160,279,10,--,Pharma , 201-500 Employees , 33 years old , Chennai +36 more,,
Dhampur Sugar Mills,3.6,"Promotions / Appraisal, Company Culture, Work Satisfaction",,158,751,12,--,Agro Chemicals , 1k-5k Employees , Public , 91 years old , Delhi/NCR +15 more,
SEED Infotech,3.7,"Work Life Balance, Job Security, Work Satisfaction",,152,600,9,--,IT Services & Consulting , 1k-5k Employees , Public , 30 years old , Pune +16 more,
JCT Limited,3.7,"Promotions / Appraisal, Salary & Benefits, Job Security",,150,689,5,--,Fashion & Textile , 1k-5k Employees , Public , 78 years old , Hoshiarpur +12 more,
Shalimar Corp,4.1,"Work Life Balance, Salary & Benefits",Promotions / Appraisal,148,737,10,--,Real Estate , 501-1k Employees , Lucknow +8 more,,,
Enmas O & M Services,3.9,Job Security,"Company Culture, Salary & Benefits",147,662,5,--,Oil & Gas , 1k-5k Employees , 19 years old , Chennai +23 more,,
The Smart Cube,3.7,"Company Culture, Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",185,1.8k,24,--,Management Consulting , 501-1k Employees , 21 years old , London +9 more,,
Merkle Sokrati,3.8,"Skill Development / Learning, Job Security, Company Culture","Salary & Benefits, Promotions / Appraisal",174,1.6k,23,--,Marketing & Advertising , 1k-5k Employees , Pune +2 more,,,
SevenMentor,4.5,"Job Security, Skill Development / Learning, Company Culture",,172,352,9,--,Education & Training , 51-200 Employees , 15 years old , Pune +2 more,,
Capillary Technologies,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,171,1.9k,12,--,IT Services & Consulting , 501-1k Employees , 16 years old , Singapore +5 more,,
Madhu Jayanti International,3.8,"Promotions / Appraisal, Work Satisfaction, Company Culture",,170,607,13,26,FMCG , 201-500 Employees , Public , 82 years old , Kolkata +37 more,
Searce Cosourcing Services,3.3,"Salary & Benefits, Promotions / Appraisal, Company Culture",,169,1.6k,22,39,IT Services & Consulting , 1k-5k Employees , 20 years old , Cupertino +8 more,,
Integra Micro Systems,3.8,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",168,1.1k,9,--,Software Product , 501-1k Employees , 42 years old , Bengaluru +31 more,,
Affluent Global Services,3.3,"Job Security, Skill Development / Learning, Promotions / Appraisal",,168,1.2k,12,--,IT Services & Consulting , 201-500 Employees , 12 years old , Hyderabad/Secunderabad +11 more,,
Isc Projects,3.7,"Job Security, Promotions / Appraisal",,167,610,14,--,Engineering & Construction , 1k-5k Employees , 57 years old , Pune +25 more,,
Arkray Healthcare,3.9,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",166,731,5,35,Healthcare , 201-500 Employees , 64 years old , Mumbai +32 more,,
Dover India,4.0,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,166,1.8k,21,--,Industrial Machinery , 501-1k Employees , Forbes Global 2000 , 21 years old , Downers Grove +6 more,
Fisdom,3.8,Job Security,,166,719,14,--,Financial Services , 501-1k Employees , Startup , 9 years old , Bangalore +28 more,
Cadworks India,4.6,"Work Life Balance, Salary & Benefits, Skill Development / Learning",,165,61,3,--,Design , 51-200 Employees , 13 years old , New Delhi +10 more,,
Royal Infraconstru,3.9,"Promotions / Appraisal, Work Life Balance",,162,680,13,--,Engineering & Construction , 51-200 Employees , 44 years old , Kolkata +30 more,,
All India Radio,4.0,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,161,682,6,--,Broadcasting , 1k-5k Employees , 94 years old , Delhi/NCR +67 more,,
Indian Council of Agricultural Research,4.2,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,159,626,6,--,Education & Training , 501-1k Employees , 95 years old , New Delhi +40 more,,
Ratna Sagar,3.7,"Promotions / Appraisal, Work Satisfaction, Company Culture",,158,752,7,--,Printing & Publishing , 501-1k Employees , 42 years old , Delhi/NCR +22 more,,
Escorts Construction Equipment,4.0,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal,158,848,8,--,Industrial Machinery , 1k-5k Employees , Public , 54 years old , Faridabad +26 more,
Ultra Engineers,4.2,"Job Security, Skill Development / Learning, Company Culture",,158,1.1k,10,--,Industrial Machinery , 1k-5k Employees , 33 years old , Pune +7 more,,
Wilo Mather and Platt Pumps,4.2,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal,157,958,7,2,Industrial Machinery , 501-1k Employees , Public , 154 years old , Dortmund +18 more,
Eternis Fine Chemicals,3.8,Job Security,,155,999,10,--,Chemicals , 201-500 Employees , Public , 36 years old , Mumbai +7 more,
Laborate Pharmaceuticals,3.7,"Promotions / Appraisal, Skill Development / Learning, Company Culture",,155,701,12,--,Pharma , 1k-5k Employees , Public , 39 years old , Panipat +28 more,
Bharti Foundation,4.2,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal,152,457,7,--,Non-Profit , 1k-5k Employees , 24 years old , Gurugram +31 more,,
Cadsys,3.7,"Work Life Balance, Salary & Benefits, Work Satisfaction",,151,471,5,--,IT Services & Consulting , 201-500 Employees , Public , 35 years old , Hyderabad/Secunderabad +3 more,
Hyderabad Metro Rail,4.1,"Job Security, Skill Development / Learning, Work Satisfaction",Salary & Benefits,150,553,6,--,Railways , 5k-10k Employees , 14 years old , Hyderabad  +5 more,,
Ansal Api,3.7,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,144,441,10,--,Real Estate , 1k-5k Employees , Public , 57 years old , New Delhi +14 more,
Cogencis Information Services,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,142,754,6,--,IT Services & Consulting , 501-1k Employees , 17 years old , Mumbai +6 more,,
Fitelo,3.9,"Company Culture, Skill Development / Learning, Work Life Balance",,246,363,24,--,Fitness & Wellness , 1k-5k Employees , Startup , 5 years old , Mohali +8 more,
INFOSEC VENTURES,3.9,"Salary & Benefits, Job Security, Skill Development / Learning",,185,310,13,18,Investment Banking / Venture Capital / Private Equity , 51-200 Employees , 13 years old , London +5 more,,
TIDE,4.6,"Company Culture, Work Life Balance, Skill Development / Learning",,177,513,15,--,FinTech , 501-1k Employees , Startup , 9 years old , London +3 more,
Savista Global Solutions,3.9,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,176,817,21,14,Analytics & KPO , 501-1k Employees , 3 years old , Georgia +6 more,,
Stashfin,4.5,"Salary & Benefits, Work Life Balance, Skill Development / Learning",,174,649,7,--,FinTech , 11-50 Employees , Startup , 8 years old , Delhi +13 more,
Highbar Technocrat,3.9,"Skill Development / Learning, Job Security, Work Satisfaction",Work Life Balance,172,933,11,--,IT Services & Consulting , 201-500 Employees , 14 years old , Mumbai +13 more,,
BOLD Technology Systems,3.4,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",,172,1.3k,20,7,Internet , 501-1k Employees , 20 years old , San Juan +6 more,,
KGK Group,3.8,Promotions / Appraisal,,169,1k,9,--,Jewellery , 201-500 Employees , 119 years old , Hong Kong +14 more,,
HostBooks,3.5,"Job Security, Promotions / Appraisal, Salary & Benefits",,168,609,6,16,Software Product , 201-500 Employees , Public , 15 years old , Gurgaon/Gurugram +9 more,
Chai Point,3.5,"Promotions / Appraisal, Company Culture, Job Security",,166,1.2k,14,--,Beverage , 501-1k Employees , 14 years old , Bangalore +13 more,,
ITW India,4.2,"Job Security, Work Life Balance, Salary & Benefits",,164,985,9,--,Industrial Machinery , 10k-50k Employees (Global) , 112 years old , Glenview +19 more,,
Amity Software Systems,4.3,"Job Security, Work Life Balance, Work Satisfaction",,164,630,6,11,Software Product , 201-500 Employees , Public , Noida +7 more,,
Metacube Software,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,163,1.6k,16,--,IT Services & Consulting , 1k-5k Employees , 20 years old , Jaipur +3 more,,
Saint Gobain Sekurit India,3.9,Job Security,Promotions / Appraisal,163,832,10,--,Auto Components , 501-1k Employees , Public , 51 years old , Pune +16 more,
Kalyani Maxion Wheels,4.0,"Job Security, Work Life Balance",Promotions / Appraisal,162,992,4,--,Auto Components , 10k-50k Employees , 104 years old , Königswinter +3 more,,
Orange Retail Finance,4.0,"Company Culture, Work Satisfaction, Skill Development / Learning",,161,632,5,--,Financial Services , 501-1k Employees , 24 years old , Chennai +48 more,,
Maxvalue Credits & Investments,4.5,"Work Life Balance, Company Culture, Work Satisfaction",,161,571,4,--,NBFC , 1k-5k Employees , Public , 8 years old , Thrissur +26 more,
BPL Medical Technologies,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,160,825,7,--,Medical Equipment , 501-1k Employees , 57 years old , Bangalore +26 more,,
TAL Manufacturing Solutions,3.7,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits, Work Life Balance",152,712,4,--,Industrial Machinery , 501-1k Employees , 24 years old , Pune +5 more,,
National Aerospace Laboratories,4.4,"Skill Development / Learning, Work Satisfaction, Company Culture","Job Security, Promotions / Appraisal",147,769,11,--,Defence & Aerospace , 1k-5k Employees , 65 years old , Bangalore/Bengaluru +2 more,,
HomeShop18,4.2,"Work Life Balance, Company Culture, Skill Development / Learning",,144,589,3,--,Internet , 501-1k Employees , 16 years old , Noida +11 more,,
Vulcan Express,4.2,"Company Culture, Skill Development / Learning, Work Life Balance",,138,315,1,--,Logistics , 1-10 Employees , 11 years old , Gurgaon +39 more,,
SquadStack,3.7,"Job Security, Promotions / Appraisal, Work Satisfaction",,180,624,16,--,IT Services & Consulting , 201-500 Employees , 10 years old , Noida +17 more,,
Novel Office,4.0,"Skill Development / Learning, Company Culture, Work Satisfaction",,176,482,30,35,Real Estate , 201-500 Employees , 31 years old , Bengaluru/Bangalore +12 more,,
Fresher Than Fresh,4.1,"Skill Development / Learning, Company Culture, Work Satisfaction",,171,333,34,--,Retail , 51-200 Employees (Global) , Gastonia +36 more,,,
Capri Global Housing Finance,3.5,"Work Life Balance, Job Security, Work Satisfaction",,171,886,15,--,Financial Services , 10k-50k Employees , 27 years old , Mumbai +66 more,,
Loconav,3.1,"Job Security, Promotions / Appraisal, Work Satisfaction",,170,1.1k,9,--,Software Product , 501-1k Employees , 9 years old , Gurgaon +8 more,,
Jbm Auto Components,4.0,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",167,1.1k,17,--,Auto Components , 10k-50k Employees (Global) , 41 years old , Gurgaon +28 more,,
Any Brand,4.0,"Work Satisfaction, Skill Development / Learning, Company Culture",,165,1.8k,43,--,Fashion & Textile , 1-10 Employees , New Delhi +47 more,,,
Automotive Axles,3.9,Promotions / Appraisal,,165,841,5,--,Auto Components , 1k-5k Employees , Public , 43 years old , Mysore +8 more,
MINISO,3.9,"Job Security, Promotions / Appraisal, Work Satisfaction",,164,814,8,--,Retail , 1k-5k Employees (Global) , 11 years old , Gurgaon/Gurugram +37 more,,
Simpson,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",163,1k,7,--,Auto Components , 201-500 Employees , 184 years old , Chennai +7 more,,
British Airways,3.3,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",,162,955,21,--,Aviation , 201-500 Employees , 105 years old , Harmondsworth +8 more,,
Toyota Financial Services,3.7,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,162,796,9,--,Financial Services , 201-500 Employees , Public , 41 years old , Chandler +32 more,
Shanthi Gears,3.6,Skill Development / Learning,"Promotions / Appraisal, Company Culture, Work Life Balance",162,1.1k,17,--,Auto Components , 501-1k Employees , Public , 55 years old , Coimbatore +12 more,
BajajSons,3.9,"Promotions / Appraisal, Company Culture, Salary & Benefits",,162,838,7,--,Automobile , 1k-5k Employees , Public , 39 years old , Ludhiana +8 more,
Appasamy Associates,3.8,Job Security,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",161,850,7,--,Medical Equipment , 51-200 Employees , 46 years old , Chennai +25 more,,
Mol Information Processing Services India,4.0,"Job Security, Work Life Balance, Salary & Benefits",,159,874,7,--,IT Services & Consulting , 51-200 Employees , 27 years old , Kolkata +6 more,,
Army Ordnance Corps,4.7,"Job Security, Company Culture, Work Life Balance",,159,469,2,--,Defence & Aerospace , 11-50 Employees , Public , 249 years old , New Delhi +49 more,
Xrbia Developers,2.8,"Job Security, Promotions / Appraisal, Salary & Benefits",,157,1k,8,--,Real Estate , 201-500 Employees , 12 years old , Pune +7 more,,
Kanoria Chemicals & Industries,4.0,"Job Security, Work Life Balance","Salary & Benefits, Promotions / Appraisal",157,808,10,--,Chemicals , 201-500 Employees , Public , 64 years old , Delhi/NCR +10 more,
Botree Software International,3.9,"Promotions / Appraisal, Salary & Benefits",,156,1.4k,12,--,Software Product , 501-1k Employees , 27 years old , Chennai +15 more,,
Elsamex Maintenance Services,4.1,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,153,585,4,--,Facility Management Services , 201-500 Employees , 25 years old , Ahmedabad +36 more,,
Shriram Fortune Solutions,4.3,"Company Culture, Work Life Balance, Job Security",,151,517,8,--,Financial Services , 501-1k Employees , 50 years old , Chennai +75 more,,
Accurate Engineering Company,3.6,"Promotions / Appraisal, Salary & Benefits, Company Culture",,151,905,10,11,Industrial Machinery , 51-200 Employees , 61 years old , Pune +23 more,,
Applus Velosi,3.7,"Promotions / Appraisal, Salary & Benefits",,150,444,5,--,Oil & Gas , 501-1k Employees , 42 years old , Abu Dhabi +18 more,,
Orion Security Solutions,3.2,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,149,693,3,--,Law Enforcement & Security , 51-200 Employees , 19 years old , Delhi/NCR +32 more,,
Wonder Home Finance,4.7,"Company Culture, Skill Development / Learning, Job Security",,302,505,23,--,Financial Services , 1k-5k Employees , 7 years old , jaipur +51 more,,
XenonStack,3.6,Skill Development / Learning,,176,444,21,77,Emerging Technologies , 51-200 Employees , 12 years old , Dubai +3 more,,
Butterfly Gandhimathi Appliances,4.3,"Work Satisfaction, Skill Development / Learning, Work Life Balance",,174,986,5,--,Consumer Electronics & Appliances , 501-1k Employees , Public , 38 years old , Chennai +28 more,
YES,4.1,"Job Security, Salary & Benefits, Skill Development / Learning",,171,1.7k,14,--,Banking , 10k-50k Employees (Global) , Mumbai +60 more,,,
V2Solutions,3.7,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security",169,1.1k,13,--,IT Services & Consulting , 501-1k Employees , 21 years old , Santa Clara +6 more,,
Canam Consultants,3.9,Work Life Balance,Promotions / Appraisal,169,667,8,--,Management Consulting , 51-200 Employees , 28 years old , Chandigarh +18 more,,
ITCube Solutions,3.3,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,165,1k,12,--,IT Services & Consulting , 201-500 Employees , 21 years old , Pune +7 more,,
Marsh,4.1,"Job Security, Company Culture, Work Life Balance",,165,389,14,--,Insurance , 1k-5k Employees , 55 years old , New York +8 more,,
Terrier Security Services,4.1,"Salary & Benefits, Work Life Balance, Skill Development / Learning",,164,562,8,--,Law Enforcement & Security , 51-200 Employees , 35 years old , Bangalore +30 more,,
Nielsen Sports,4.0,"Company Culture, Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",164,771,6,--,Sports & Recreation , 10k-50k Employees (Global) , 20 years old , Bangalore +4 more,,
Sand Martin Consultants,3.0,"Promotions / Appraisal, Salary & Benefits, Company Culture",,163,769,21,--,BPO , 501-1k Employees , 40 years old , New Delhi +7 more,,
MM Forgings,3.9,"Skill Development / Learning, Job Security","Salary & Benefits, Promotions / Appraisal, Company Culture",163,1.3k,12,--,Iron & Steel , 1k-5k Employees , Public , 78 years old , Chennai +18 more,
Fujitec,3.9,Job Security,"Work Satisfaction, Promotions / Appraisal",162,974,6,--,Electronics Manufacturing , 51-200 Employees , Public , 14 years old , Hikone +18 more,
Pps Motors,3.9,"Salary & Benefits, Work Life Balance",,161,819,9,--,Automobile , 51-200 Employees , 13 years old , Hyderabad +35 more,,
Aditya Infotech,4.3,"Work Life Balance, Company Culture, Salary & Benefits",,160,1.6k,4,--,IT Services & Consulting , 501-1k Employees , 30 years old , Noida +38 more,,
TRF,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",159,843,4,--,Auto Components , 501-1k Employees , Public , 62 years old , Jamshedpur +16 more,
Vision Rx Lab,4.3,"Job Security, Work Life Balance, Work Satisfaction",Promotions / Appraisal,159,737,7,--,Medical Equipment , 201-500 Employees , 65 years old , Kolkata +28 more,,
