Name,Rating,Advantage,Disadvantage,Reviews,Salary,Interview,Jobs,Industry,Employees,Ownership,Age,Location,Work Place
NTT DATA,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,6k,51.8k,518,90,IT Services & Consulting , 10k-50k Employees , 36 years old , Chiyoda City +61 more,,
ICICI Prudential Life Insurance,4.1,"Job Security, Skill Development / Learning, Salary & Benefits",,5.6k,22k,326,--,Insurance , 10k-50k Employees , Public , 24 years old , Mumbai +452 more,
Bajaj Finance,4.1,"Salary & Benefits, Skill Development / Learning, Job Security",,5.7k,20.2k,258,26,NBFC , 10k-50k Employees , 37 years old , Pune +777 more,,
Jana Small Finance Bank,3.9,Promotions / Appraisal,,5.5k,14.8k,205,--,Banking , 10k-50k Employees , Public , 18 years old , Bangalore/Bengaluru +356 more,
Lupin,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",,5.5k,22.3k,288,193,Pharma , 1k-5k Employees , Public , 56 years old , Mumbai +171 more,
Indian Army,4.7,"Job Security, Company Culture, Work Satisfaction",,5k,9.6k,128,--,Defence & Aerospace , 1 Lakh+ Employees , Public , 129 years old , New Delhi +329 more,
HCL Group,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits",5.1k,65.2k,373,--,IT Services & Consulting , 1 Lakh+ Employees , 48 years old , Chennai +76 more,,
Quess,4.0,Work Life Balance,Promotions / Appraisal,5.7k,25.4k,334,--,BPO , 1k-5k Employees , Public , 17 years old , Bangalore +549 more,
Tata Steel,4.2,"Job Security, Skill Development / Learning, Work Life Balance",,6.2k,28.3k,668,--,Iron & Steel , 1 Lakh+ Employees , Public , 117 years old , Mumbai +183 more,
L&T Infotech,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",5.3k,72.6k,453,--,IT Services & Consulting , 10k-50k Employees , Public , 28 years old , Mumbai +86 more,
Wells Fargo,4.0,"Job Security, Work Life Balance, Company Culture",,5.4k,49k,438,382,Financial Services , 10k-50k Employees , Public , 172 years old , San Francisco +21 more,
